"fileID,f1,f2,vot,notes"
bi03_kaka,1039.61,1873.56,23.07,
bi03_kaka1,831.37,1503.60,32.74,
bi03_kaka2,819.38,1661.52,39.16,
bi03_keke,901.11,2409.32,26.71,
bi03_keke1,525.86,2289.74,28.20,
bi03_keke2,451.01,2528.41,27.00,
bi03_kiki,398.88,2664.82,35.34,
bi03_kiki1,352.60,2698.46,39.16,
bi03_kiki2,349.59,2677.70,31.92,
bi03_koko,624.45,819.79,34.78,
bi03_koko1,556.46,900.55,37.41,
bi03_koko2,769.15,1149.89,36.81,
bi03_kuku,393.63,761.14,34.91,
bi03_kuku1,252.11,1687.77,37.50,
bi03_kuku2,412.82,829.51,43.28,
bi03_paka,1129.69,1700.56,16.73,
bi03_paka1,750.21,1621.19,15.55,
bi03_paka2,681.30,1792.76,16.23,
bi03_peke,437.67,1808.38,14.55,
bi03_peke1,553.65,2330.70,18.32,
bi03_peke2,959.72,2416.28,18.00,
bi03_piki,362.52,2681.09,25.46,
bi03_piki1,325.36,2822.69,20.06,
bi03_piki2,1161.46,2482.58,19.77,
bi03_poko,532.42,888.39,38.98,
bi03_poko1,622.45,1852.61,24.42,
bi03_poko2,516.58,874.94,24.75,
bi03_puku,475.70,572.87,27.02,
bi03_puku1,673.18,1670.84,40.85,
bi03_puku2,422.72,816.19,25.24,
bi03_taka,774.03,1640.07,21.84,
bi03_taka1,824.60,1645.98,19.87,
bi03_taka2,861.76,1539.75,18.82,
bi03_teke,462.58,2348.97,24.55,
bi03_teke1,453.93,2401.44,22.71,
bi03_teke2,436.42,2438.61,24.66,
bi03_tiki,357.22,2505.64,27.27,
bi03_tiki1,891.47,2234.15,18.40,
bi03_tiki2,418.37,1903.97,30.54,
bi03_toko,796.23,961.59,25.22,
bi03_toko1,748.60,1155.19,22.41,
bi03_toko2,774.03,1059.12,24.00,
bi03_tuku,652.91,780.79,36.01,
bi03_tuku1,398.80,734.13,24.19,
bi03_tuku2,402.86,750.42,24.06,
