"fileID,f1,f2,vot,notes"
ne02_kaka,571.23,1418.35,48.91,
ne02_kaka1,929.87,2234.55,67.31,
ne02_kaka2,244.20,1526.41,48.04,
ne02_keke,468.59,2409.35,54.59,
ne02_keke1,423.41,2482.03,57.80,
ne02_keke2,497.26,2240.32,109.18,
ne02_kiki,356.85,2688.90,19.10,
ne02_kiki1,340.60,2804.15,51.43,
ne02_kiki2,320.16,2784.94,58.26,
ne02_koko,552.95,1041.10,61.85,
ne02_koko1,422.19,1023.42,47.55,
ne02_koko2,526.22,1075.25,46.14,
ne02_kuku,816.38,1060.49,64.98,
ne02_kuku1,288.80,1185.74,74.05,
ne02_kuku2,482.50,1141.04,60.48,
ne02_paka,761.90,1680.33,31.03,
ne02_paka1,865.05,1520.44,23.02,
ne02_paka2,1044.68,1783.89,18.82,
ne02_peke,544.65,2393.71,56.04,
ne02_peke1,522.82,2459.55,22.91,
ne02_peke2,529.11,2470.50,47.14,
ne02_piki,342.72,2625.54,20.47,
ne02_piki1,382.66,2666.61,26.93,
ne02_piki2,448.41,2642.69,26.16,
ne02_poko,575.81,1027.94,25.79,
ne02_poko1,1035.27,2167.06,37.67,
ne02_poko2,650.71,1642.17,34.21,
ne02_puku,436.37,1053.55,35.67,
ne02_puku1,493.95,1209.58,46.80,
ne02_puku2,450.77,1262.25,26.28,
ne02_taka,844.32,1759.95,26.03,
ne02_taka1,829.11,1585.34,20.06,
ne02_taka2,806.77,1663.07,26.38,
ne02_teke,518.88,2409.80,28.02,
ne02_teke1,485.76,2476.77,34.56,
ne02_teke2,660.87,1859.98,35.57,
ne02_tiki,303.14,2854.43,38.89,
ne02_tiki1,314.47,2740.23,37.90,
ne02_tiki2,304.17,2728.57,36.53,
ne02_toko,484.83,998.11,35.02,
ne02_toko1,596.31,1157.02,46.26,
ne02_toko2,547.00,1017.92,33.48,
ne02_tuku,469.32,1303.56,31.85,
ne02_tuku1,443.51,1122.42,44.03,
ne02_tuku2,755.42,1377.90,47.91,
